account_created_at,protected,followers_count,following_count,statuses_count
8/20/2009 3:48,0,11,7,15
8/11/2013 21:19,0,0,0,0
5/11/2010 6:08,0,0,1,0
1/11/2010 22:25,1,2,35,1
9/5/2011 6:22,0,0,0,0
11/14/2012 2:00,0,0,0,2
2/5/2009 16:31,0,9,28,338
1/10/2012 17:20,0,0,0,0
6/17/2012 13:33,0,2,17,1
8/11/2009 16:37,0,2,6,1
9/26/2012 14:24,0,0,0,0
5/30/2009 19:00,0,8,37,6
12/25/2012 20:50,0,5,24,33
5/1/2009 16:02,1,0,4,15
8/26/2008 3:10,1,12,2,11
9/22/2012 10:56,0,24,110,434
8/8/2009 6:39,0,16,52,466
9/19/2011 16:01,0,0,2,194
4/23/2011 12:52,0,217,106,265
8/2/2012 8:35,0,0,16,0
6/6/2009 0:23,0,3,19,0
4/16/2013 17:15,0,2,52,4
6/27/2009 23:04,0,374,47,229
8/25/2010 23:16,0,4,13,0
4/5/2010 15:26,0,0,1,1
10/28/2012 6:29,1,1,22,1
3/15/2013 1:32,0,0,2,0
6/16/2012 23:42,0,0,0,0
1/9/2010 20:37,0,0,1,3
6/25/2013 1:31,0,109,73,11
5/30/2013 11:59,0,1,21,2
12/12/2012 8:33,1,0,5,2
10/24/2011 17:05,0,1,0,0
10/8/2012 9:17,0,0,5,2
10/19/2011 20:35,0,1,13,0
7/9/2011 21:37,0,6,3,4
5/12/2011 16:46,0,1,0,0
9/13/2009 10:07,0,0,0,0
10/15/2012 4:57,0,6,125,1
5/14/2011 23:03,0,0,0,0
12/14/2010 12:20,0,1,0,0
8/13/2009 17:26,0,0,0,0
3/5/2011 6:13,0,1,2,0
11/27/2010 19:36,0,6,13,1
6/27/2009 9:33,0,1,1,10
8/11/2013 16:07,0,1,0,0
11/9/2012 23:05,0,1078,97,6468
4/8/2010 6:31,0,4,21,15
11/20/2010 13:15,0,45,141,270
3/5/2012 6:34,0,0,6,0
10/31/2012 4:05,0,0,0,0
8/31/2013 12:47,0,0,0,0
2/2/2013 4:15,0,0,0,0
2/6/2012 23:29,0,0,0,0
7/21/2013 3:18,0,0,0,0
12/27/2011 23:44,0,3,3,1
9/28/2012 11:58,0,0,0,2
8/18/2011 6:23,1,37,51,107
4/12/2010 3:02,0,1,1,0
3/6/2013 16:56,1,64,62,71
5/12/2012 17:45,0,1,6,1
6/9/2012 17:00,0,0,0,8
12/5/2011 12:14,0,4,82,4
8/30/2010 9:14,0,0,2,2
2/1/2013 13:50,0,2,26,13
3/19/2011 3:56,1,44,53,63
7/30/2010 15:55,0,5,47,21
12/2/2011 17:21,0,21,95,5
10/10/2012 1:12,0,0,1,1
4/6/2011 21:59,0,0,1,2
2/9/2012 4:54,0,0,0,0
7/20/2013 16:05,0,0,3,0
3/17/2010 12:25,1,113,131,1065
10/8/2009 21:04,0,5,22,3
6/6/2009 15:34,0,1,0,1
7/17/2011 18:35,1,0,10,0
3/2/2010 11:49,0,0,5,1
1/24/2013 2:01,0,3,10,0
10/12/2009 17:05,1,0,1,0
5/11/2010 12:14,0,31,19,7
5/3/2012 1:28,0,1,5,0
1/5/2012 0:56,0,0,0,0
12/20/2012 10:40,0,1,15,2
12/12/2010 14:44,0,40,180,55
4/29/2010 18:15,0,0,2,0
6/1/2012 3:52,0,9,6,0
4/1/2012 13:36,0,1,11,10
1/22/2009 5:51,0,0,0,0
6/23/2010 13:40,0,20,18,13
8/26/2009 23:26,0,4,23,1
3/16/2013 19:10,0,0,4,0
3/16/2013 15:16,0,0,1,0
8/21/2009 11:18,0,7,22,3
2/25/2012 23:17,0,0,0,0
9/20/2011 12:47,0,1,2,1
9/28/2012 7:22,0,7,37,3
11/8/2009 19:23,0,46,44,125
4/21/2009 22:56,0,6,34,2
2/4/2010 1:52,0,27,0,20
6/24/2012 15:48,0,181,214,2411
5/19/2010 19:03,0,1,26,8
8/31/2012 5:22,0,22,71,56
5/18/2013 3:49,0,0,0,1
11/11/2012 14:17,0,22,80,380
6/6/2013 17:17,0,1,9,0
12/18/2010 2:48,0,92,400,566
3/31/2013 21:46,0,0,0,0
1/13/2013 16:15,0,1,15,1
5/24/2012 11:41,0,0,1,0
11/15/2009 23:47,0,1,28,0
6/29/2013 7:07,0,0,6,0
12/28/2012 0:17,0,0,2,0
5/23/2011 6:49,0,60,111,1094
5/4/2013 7:13,0,0,0,0
9/2/2010 17:24,0,3,39,5
7/6/2013 4:05,0,1,8,0
6/21/2013 4:53,0,1,2,0
8/16/2013 21:08,0,1,1,0
9/26/2009 6:34,0,1,2,0
6/6/2013 8:03,0,1,12,2
5/12/2011 21:54,1,10,56,33
5/5/2011 6:35,0,2,2,2
8/29/2009 21:13,0,2,1,0
10/3/2009 1:32,0,179,247,4235
6/10/2012 17:42,0,0,1,1
2/29/2012 22:11,0,0,0,1
12/15/2012 23:47,0,5,42,8
2/23/2013 23:08,0,0,0,0
1/5/2012 4:02,0,1,12,0
2/23/2011 23:04,0,11,71,34
2/13/2013 8:17,0,26,31,1
1/30/2011 17:57,0,0,2,0
4/6/2013 17:18,0,0,0,0
10/17/2010 16:29,0,0,1,0
8/17/2010 17:09,0,10,0,0
5/25/2012 16:15,0,18,5,36
10/13/2011 20:10,0,1,7,0
1/20/2010 3:13,0,27,17,26
11/29/2010 12:02,0,0,1,1
8/25/2013 23:46,0,22,118,198
8/19/2012 14:46,0,0,0,0
1/5/2010 8:58,0,0,0,0
3/3/2012 18:28,0,0,0,0
2/8/2013 18:09,0,4,18,0
2/7/2013 14:35,0,0,0,0
9/22/2009 1:52,0,0,0,15
10/27/2011 2:57,0,8,10,0
5/4/2013 8:18,0,1,28,0
8/23/2011 23:24,0,0,4,0
7/17/2012 7:51,0,12,27,47
3/29/2010 14:35,0,66,0,3
4/5/2010 10:18,0,0,0,0
3/29/2013 4:44,0,0,0,2
5/11/2008 22:54,0,1,0,0
11/4/2011 5:25,0,3,127,0
11/16/2009 22:59,0,1233,1224,829
2/12/2013 14:05,0,33,84,48
9/8/2010 4:42,0,1,0,1
7/7/2013 3:42,0,12,71,12
5/4/2010 6:04,0,0,0,0
6/4/2010 23:20,0,113,485,13
9/30/2010 13:42,0,4,9,9
10/4/2009 14:01,0,1,3,0
5/12/2010 1:45,0,0,5,5
8/2/2010 13:14,0,102,7,169
7/7/2011 7:53,0,5,21,1
5/24/2013 14:39,0,1,13,0
8/25/2011 14:57,0,113,351,533
11/6/2009 21:37,0,0,0,0
4/16/2010 2:20,0,0,10,8
2/7/2013 17:02,0,7,9,8
2/13/2013 23:36,0,0,0,1
10/6/2011 19:10,0,0,0,0
2/25/2013 17:38,0,3,0,0
2/12/2009 0:16,0,25,34,27
3/7/2010 13:26,0,99,404,249
1/29/2011 9:07,1,0,0,0
5/5/2012 11:53,0,0,0,0
10/7/2009 23:56,0,0,0,1
7/18/2013 12:03,0,2,43,3
6/23/2012 22:08,0,23,61,1
11/15/2010 10:15,0,2,2,0
3/16/2009 14:36,0,3,3,2
8/12/2013 11:27,0,1,16,0
3/12/2009 13:38,0,44,17,60
8/2/2012 15:56,0,0,18,0
10/13/2009 17:11,0,4,11,6
3/25/2011 23:51,0,1,5,1
5/5/2013 12:39,0,0,15,1
6/18/2012 12:00,0,0,3,0
8/22/2013 6:40,0,0,4,1
8/4/2013 12:03,0,20,7,22
7/21/2013 17:06,0,0,59,6
11/14/2012 22:14,0,17,29,1
4/13/2013 16:58,0,0,11,4
3/1/2012 15:30,0,1,25,3
4/5/2010 12:28,0,0,1,1
6/30/2012 19:05,0,0,2,0
2/18/2008 15:53,0,0,0,0
6/25/2013 22:40,0,0,1,0
9/1/2011 1:32,0,0,11,1
10/19/2012 8:02,0,0,0,13
8/14/2013 4:22,0,1,15,10
7/15/2010 2:02,0,0,15,1
12/11/2009 20:39,0,1,2,0
9/10/2010 7:36,0,0,0,2
2/24/2012 7:12,0,0,0,0
3/25/2011 11:21,0,0,0,0
4/3/2012 20:38,0,0,1,0
9/13/2012 11:44,0,0,0,1
2/15/2013 1:52,0,0,0,0
5/3/2012 8:18,0,8,78,1
10/11/2011 7:54,0,0,1,0
3/24/2012 9:34,0,0,12,0
12/10/2009 23:44,0,0,0,5
8/15/2012 7:57,0,0,0,0
9/10/2011 12:52,0,0,3,958
5/24/2011 12:23,0,0,3,0
9/14/2010 9:43,0,3,1,0
3/25/2011 16:28,0,143,124,35019
8/18/2010 16:32,0,0,0,0
10/31/2011 11:32,0,0,0,0
3/23/2013 15:14,0,0,5,0
5/3/2012 3:23,0,0,0,0
8/1/2012 10:12,0,0,0,0
4/29/2009 20:39,0,1,0,10
3/28/2012 10:07,0,0,10,0
4/8/2010 7:04,0,2,0,1
5/16/2009 2:09,0,10,4,3
12/2/2011 3:30,0,0,0,0
8/4/2013 18:21,0,2,14,1
3/4/2013 20:48,0,1,4,6
5/15/2011 11:46,0,0,0,0
6/2/2012 8:22,0,0,0,0
4/8/2011 4:51,0,2,37,42
11/26/2010 5:42,0,1,2,1
4/4/2012 10:50,0,25,77,143
8/2/2011 20:11,0,0,0,1
8/27/2011 16:11,0,4,38,2
6/17/2009 21:11,0,3,19,1
4/28/2013 4:33,0,0,5,3
1/23/2013 3:48,0,0,1,0
11/28/2011 12:58,0,0,0,0
8/10/2011 22:00,0,0,3,4
6/27/2011 9:42,0,0,1,2
8/12/2013 4:03,0,0,0,0
7/25/2011 2:56,0,9,46,0
7/20/2011 21:09,0,0,0,1
6/2/2013 7:53,0,0,0,0
8/29/2013 16:54,0,3,2,0
5/28/2011 22:05,0,1,1,3
11/26/2008 5:58,0,0,0,0
5/19/2012 16:31,0,0,0,0
10/8/2009 23:37,0,1,19,0
10/8/2010 0:02,0,2,1,1
9/30/2008 22:07,1,0,0,0
8/4/2012 22:56,0,0,0,0
11/3/2011 23:26,0,2,6,0
4/26/2010 13:42,0,0,0,0
7/22/2013 4:53,0,0,6,0
8/2/2011 15:39,0,14,36,3
11/13/2010 2:40,0,0,0,1
4/2/2012 19:28,0,0,0,0
6/23/2012 3:00,0,28,73,46
1/30/2012 8:17,0,2,10,7
12/11/2012 14:45,0,0,0,0
5/4/2012 16:05,0,1,24,1
1/1/2011 14:50,0,31,267,202
8/31/2013 16:37,0,4,45,14
12/29/2009 11:18,0,0,0,0
12/7/2010 12:06,0,0,0,0
7/9/2012 3:10,0,0,0,0
9/3/2011 10:57,0,0,0,0
12/4/2009 18:29,1,26,53,128
9/16/2012 7:17,0,3,9,16
7/20/2011 9:32,0,1,13,1
9/28/2009 4:13,0,1,3,2
2/5/2011 14:05,0,0,0,0
7/1/2010 11:43,0,33,45,17
4/13/2013 20:19,0,0,0,0
12/1/2010 15:26,0,2,1,0
11/25/2012 3:00,0,475,991,843
1/10/2012 9:20,0,0,2,1
3/19/2009 17:57,0,38,31,0
7/16/2011 10:07,0,0,2,0
8/27/2012 6:14,0,0,0,0
7/16/2011 1:15,0,1,0,0
1/31/2013 5:20,0,3,24,2
6/30/2012 21:15,0,10,78,15
6/7/2013 10:38,0,1,1,1
3/3/2010 18:29,1,4,31,1
1/11/2013 22:32,0,47,75,176
10/21/2011 7:47,0,2,9,1
8/11/2013 19:41,0,0,0,0
6/17/2009 0:02,0,2,20,1
12/18/2009 14:22,0,0,0,0
8/30/2012 14:24,0,0,4,0
10/23/2011 19:34,0,78,377,630
6/4/2010 23:49,0,0,0,0
6/8/2013 0:35,0,10,33,200
10/26/2009 21:06,0,0,0,0
9/20/2011 18:26,0,156,160,5163
3/28/2009 0:12,0,1,2,1
4/24/2011 2:37,0,2,15,2
5/31/2012 7:15,0,0,0,0
11/15/2010 0:51,0,1,1,0
1/22/2013 16:34,0,3,59,0
4/29/2013 8:18,0,0,0,0
7/8/2013 6:20,0,0,11,0
3/29/2011 11:18,0,1,2,0
4/18/2009 5:36,0,2,20,8
4/22/2010 12:31,0,3,4,3
6/15/2012 18:31,0,2,15,0
1/19/2012 13:46,0,8,0,0
5/22/2012 5:08,0,0,19,1
4/26/2009 3:19,1,7,18,50
4/24/2013 20:22,0,14,454,44
2/21/2013 2:50,0,0,0,36
9/15/2009 17:44,0,1,1,0
3/29/2013 16:26,1,2,29,33
10/18/2011 20:42,0,1369,1363,12668
8/15/2011 13:59,0,0,0,0
7/16/2009 11:31,1,178,182,193
5/22/2010 18:50,0,517,535,1424
11/29/2011 0:23,0,6,17,2
2/1/2012 21:10,0,2,10,0
7/1/2009 3:00,1,0,2,0
2/1/2011 16:14,0,19,52,322
7/1/2011 2:32,0,1,0,0
8/7/2012 20:14,0,1,25,0
4/29/2012 4:41,0,222,768,111
3/19/2013 11:56,0,0,0,0
7/27/2013 6:58,0,1,6,1
1/23/2011 4:44,0,0,0,0
8/24/2013 22:35,0,36,160,61
12/6/2010 8:28,0,0,0,4
4/28/2013 18:48,0,4,0,5
5/28/2013 13:56,0,2,8,5
9/13/2012 6:04,0,9,168,7
8/13/2010 9:14,0,1,2,2
1/17/2012 9:16,0,0,1,0
8/29/2011 11:10,0,0,2,0
10/5/2012 22:53,0,11,10,5116
11/21/2012 19:09,0,147,0,0
4/8/2013 5:34,0,0,0,0
6/20/2013 8:10,0,0,4,0
7/31/2010 1:25,1,6,12,9
3/7/2013 8:59,0,5,22,179
5/16/2013 12:45,0,0,1,1
4/29/2011 18:00,0,4,0,0
3/22/2013 23:21,0,1,4,0
2/9/2012 22:19,0,7,23,0
8/29/2009 20:37,0,418,295,6764
4/8/2012 9:14,0,3,97,9
7/17/2009 3:26,0,11,50,1
10/6/2010 17:11,0,4,0,0
5/23/2013 12:12,0,0,5,0
4/5/2012 1:16,0,1,42,0
2/17/2013 19:15,0,0,3,0
12/30/2009 23:56,0,1,3,1
2/19/2010 17:46,0,1,3,1
9/19/2009 7:55,0,1,0,0
11/3/2011 19:26,0,0,0,1
4/29/2012 11:49,0,3,18,3
8/15/2010 5:05,0,4999,5058,5650
9/1/2009 10:20,0,0,19,0
4/1/2011 21:17,0,5,9,0
1/4/2010 20:35,0,0,0,0
11/24/2009 13:44,0,3,0,1
2/19/2011 19:15,0,2,10,0
8/16/2013 21:45,0,0,0,1
3/7/2013 9:47,1,0,7,0
11/27/2012 7:47,0,2572,380,557
6/25/2010 12:42,0,6,7,1
1/28/2009 15:48,0,52,222,1103
3/25/2009 11:56,0,11,16,14
7/26/2012 9:51,0,6,9,3
1/2/2013 19:09,0,0,0,0
4/5/2013 7:06,0,0,0,0
3/14/2009 0:48,0,23,15,3
10/4/2011 5:37,0,1,12,0
2/19/2013 6:16,0,1,17,0
2/18/2011 23:44,0,0,0,0
12/3/2012 11:33,0,3,1,0
1/5/2013 23:04,0,65,126,50
5/2/2010 5:45,0,2,1,3
6/30/2010 12:57,1,1,1,35
11/15/2012 18:54,0,2192,1680,4170
3/28/2010 11:02,0,5,34,24
12/7/2010 0:18,0,3,3,1
5/31/2013 0:43,0,1,34,0
7/3/2010 16:22,0,29,231,0
7/23/2011 6:21,0,153,516,436
11/2/2009 16:09,0,32,24,3
1/23/2013 10:15,0,82,516,909
4/18/2010 1:49,0,1,0,2
5/4/2012 10:17,0,0,0,0
7/19/2013 0:56,0,0,2,1
12/27/2012 19:40,0,26,56,2
10/2/2012 12:10,0,0,0,0
1/19/2012 4:47,0,10,44,7
7/21/2010 23:27,0,1,0,0
3/29/2011 20:19,0,2,11,1
11/16/2011 21:43,0,6,144,0
3/5/2012 16:09,0,0,12,21
2/23/2012 6:38,0,1,8,0
7/16/2013 5:44,0,0,0,0
8/13/2013 0:38,0,54,80,152
4/21/2013 12:27,0,1,5,14
6/28/2013 16:20,0,0,1,9
10/11/2012 1:31,0,58,427,308
12/21/2011 13:46,0,0,0,0
6/5/2010 5:38,0,112,121,3908
1/14/2010 21:51,0,1,0,0
9/27/2010 11:52,0,0,3,4
3/15/2012 6:01,0,0,0,0
2/3/2013 4:55,0,0,1,0
6/25/2012 1:39,0,3,0,10
12/23/2012 19:09,0,0,0,0
6/14/2011 15:05,0,0,0,0
3/19/2009 2:36,0,8,11,5
3/22/2010 11:23,0,122,127,1681
10/10/2010 14:23,1,1,7,0
8/7/2009 15:19,0,7,23,4
4/6/2013 4:41,0,2,15,12
8/10/2011 8:47,0,383,807,6347
4/8/2012 3:01,0,0,2,0
12/16/2010 13:22,0,0,14,12
2/6/2010 3:17,0,1,1,1
12/30/2011 13:03,0,0,2,0
4/17/2013 20:01,0,0,2,0
10/24/2010 7:00,0,0,2,0
3/1/2009 19:01,0,3,1,1
4/1/2012 19:48,1,119,160,334
1/3/2010 0:14,0,1,1,1
10/6/2012 2:53,0,0,0,0
12/30/2011 6:14,0,1,32,0
5/18/2012 3:37,0,0,48,16
8/7/2013 1:42,0,0,6,7
11/3/2009 16:38,1,2,16,51
6/1/2009 19:33,0,1,4,0
4/22/2011 1:26,0,14,16,15
12/25/2011 10:17,0,6,23,2
5/22/2012 17:57,0,0,8,2
11/9/2010 0:45,0,0,1,0
8/14/2013 3:37,0,0,0,0
11/18/2010 4:16,0,0,1,0
3/16/2011 5:35,0,0,2,1
11/2/2012 16:00,0,3,8,6
2/23/2013 21:52,0,8,43,60
7/8/2010 18:22,0,1,11,18
12/1/2010 2:59,0,9,3,18
8/31/2012 18:04,0,133,46,3243
8/26/2009 22:06,0,9,25,8
10/26/2011 6:59,0,259,80,5265
1/21/2011 1:30,0,0,0,1
9/14/2010 12:29,1,0,21,0
10/27/2010 3:14,0,0,0,0
8/17/2011 4:47,0,5,22,0
8/1/2013 17:04,0,196,279,1154
8/21/2012 5:08,0,380,905,18
6/24/2012 9:53,0,0,0,0
7/9/2009 21:54,0,7,14,118
1/16/2011 13:37,0,99,11,12287
10/31/2012 10:41,0,0,0,0
7/29/2011 16:02,0,11,144,342
3/8/2010 14:39,0,3,10,2
7/5/2013 23:56,0,19,108,12
6/15/2013 17:17,0,23,107,19
12/22/2012 3:55,0,0,1,0
11/14/2011 6:10,0,0,0,0
3/2/2013 19:24,0,0,1,1
7/3/2010 19:13,0,295,1000,4732
3/19/2012 11:41,0,0,0,0
8/11/2013 15:28,0,1,2,0
8/2/2013 17:59,0,5,138,1
7/9/2012 7:06,0,0,0,0
8/23/2013 14:09,0,0,0,0
5/26/2012 23:43,0,2,1,2
6/30/2013 20:28,0,18,31,36
10/6/2011 15:56,0,6,60,3
4/10/2009 20:36,0,1,1,7
3/2/2013 4:12,0,43,287,621
5/14/2013 9:40,0,0,0,0
7/30/2009 23:00,0,2,0,0
4/2/2011 20:31,0,0,0,0
8/12/2013 11:34,0,3,1,0
1/15/2011 10:13,0,1,0,0
6/12/2013 22:36,0,5,25,4
2/10/2012 11:52,0,1,0,0
5/5/2012 5:35,0,109,239,1930
5/27/2013 0:26,0,0,10,0
11/14/2009 15:04,1,100,213,13343
11/27/2012 16:50,0,5,35,0
9/16/2010 16:35,0,0,1,0
9/21/2011 23:31,0,0,0,0
1/13/2012 14:27,0,0,0,1
7/20/2009 9:49,0,4,20,1
5/19/2012 14:42,0,11,7,1
7/13/2011 15:38,0,8,16,1
